content_id,creator_id,content_type,created_timestamp,time_sensitivity
C0001,42,LONG,9,Medium
C0002,24,LONG,14,High
C0003,47,LONG,10,High
C0004,24,LONG,13,High
C0005,37,SHORT,23,High
C0006,2,LONG,17,Low
C0007,38,LONG,9,High
C0008,13,LONG,7,Medium
C0009,37,SHORT,15,Low
C0010,42,LONG,8,Medium
C0011,47,LONG,14,High
C0012,47,LONG,5,High
C0013,47,LONG,5,Low
C0014,42,SHORT,16,High
C0015,5,SHORT,0,Medium
C0016,9,SHORT,2,Low
C0017,10,SHORT,6,Low
C0018,30,LONG,1,Low
C0019,41,LONG,21,Medium
C0020,2,SHORT,17,Low
C0021,27,SHORT,0,Low
C0022,47,LONG,17,Medium
C0023,2,LONG,5,High
C0024,7,SHORT,7,High
C0025,40,LONG,11,Medium
C0026,26,SHORT,11,Medium
C0027,30,SHORT,22,High
C0028,20,SHORT,20,Low
C0029,49,SHORT,2,Medium
C0030,25,LONG,17,Medium
C0031,4,SHORT,22,High
C0032,6,LONG,13,Low
C0033,22,SHORT,16,High
C0034,15,SHORT,22,Low
C0035,31,LONG,1,High
C0036,44,LONG,17,Low
C0037,43,SHORT,5,Medium
C0038,2,SHORT,18,High
C0039,49,LONG,2,Medium
C0040,11,SHORT,18,Medium
C0041,44,LONG,12,Low
C0042,9,SHORT,16,Low
C0043,23,SHORT,3,Medium
C0044,15,SHORT,10,Low
C0045,50,LONG,10,High
C0046,41,LONG,14,Medium
C0047,15,LONG,17,Medium
C0048,28,SHORT,21,Low
C0049,43,LONG,2,Low
C0050,19,SHORT,22,High
C0051,6,LONG,4,Medium
C0052,46,SHORT,23,Medium
C0053,21,LONG,3,High
C0054,1,LONG,14,Medium
C0055,49,LONG,3,High
C0056,6,SHORT,13,Medium
C0057,36,LONG,3,High
C0058,6,LONG,17,High
C0059,39,LONG,12,High
C0060,19,LONG,12,High
C0061,47,SHORT,18,Low
C0062,11,LONG,5,High
C0063,18,LONG,8,Medium
C0064,10,SHORT,5,Medium
C0065,18,LONG,9,Medium
C0066,5,LONG,8,High
C0067,47,LONG,19,Low
C0068,13,LONG,3,High
C0069,20,SHORT,12,Medium
C0070,40,LONG,10,Medium
C0071,22,LONG,20,Low
C0072,9,LONG,10,Low
C0073,45,SHORT,15,Medium
C0074,12,LONG,10,Medium
C0075,48,LONG,18,High
C0076,21,LONG,8,Medium
C0077,24,SHORT,18,High
C0078,38,SHORT,21,Low
C0079,2,LONG,22,High
C0080,29,LONG,22,High
C0081,27,LONG,4,Low
C0082,20,SHORT,8,Low
C0083,10,LONG,12,High
C0084,29,LONG,18,Medium
C0085,35,LONG,17,High
C0086,24,SHORT,3,High
C0087,43,LONG,5,Low
C0088,40,SHORT,18,Low
C0089,44,LONG,10,Medium
C0090,7,SHORT,3,Medium
C0091,15,SHORT,14,Medium
C0092,26,LONG,21,Low
C0093,45,SHORT,11,High
C0094,31,SHORT,9,Medium
C0095,6,SHORT,23,High
C0096,23,LONG,10,Medium
C0097,14,LONG,11,Medium
C0098,7,LONG,23,Low
C0099,29,LONG,2,Medium
C0100,3,SHORT,0,Medium
C0101,42,SHORT,21,High
C0102,48,SHORT,16,High
C0103,36,SHORT,10,Low
C0104,28,LONG,7,Medium
C0105,41,SHORT,5,Low
C0106,43,LONG,12,High
C0107,48,SHORT,14,Low
C0108,28,LONG,0,Low
C0109,14,SHORT,8,Low
C0110,5,SHORT,17,High
C0111,24,LONG,6,Medium
C0112,8,LONG,21,Medium
C0113,34,LONG,19,Medium
C0114,40,LONG,18,High
C0115,23,LONG,14,Low
C0116,12,LONG,19,Low
C0117,6,SHORT,10,High
C0118,16,LONG,3,High
C0119,24,SHORT,16,Medium
C0120,27,SHORT,18,Medium
C0121,28,SHORT,15,Low
C0122,35,SHORT,17,High
C0123,32,LONG,4,High
C0124,21,LONG,19,High
C0125,23,SHORT,15,High
C0126,13,LONG,17,Low
C0127,42,LONG,13,Low
C0128,32,LONG,22,Medium
C0129,32,SHORT,2,Low
C0130,2,SHORT,9,High
C0131,18,SHORT,17,Medium
C0132,11,LONG,18,Low
C0133,50,LONG,17,Low
C0134,8,SHORT,8,Low
C0135,24,SHORT,23,Medium
C0136,35,SHORT,13,High
C0137,48,SHORT,9,High
C0138,29,LONG,11,High
C0139,29,SHORT,7,High
C0140,48,LONG,22,Low
C0141,41,LONG,5,Low
C0142,9,SHORT,6,High
C0143,37,LONG,17,Medium
C0144,39,SHORT,10,Low
C0145,19,LONG,18,Medium
C0146,33,SHORT,4,Medium
C0147,4,LONG,20,High
C0148,45,SHORT,7,High
C0149,46,LONG,7,Low
C0150,26,LONG,4,Low
C0151,41,LONG,20,Medium
C0152,25,LONG,2,Low
C0153,50,SHORT,12,Low
C0154,48,LONG,22,Medium
C0155,30,LONG,10,Low
C0156,1,SHORT,23,Medium
C0157,41,LONG,2,Low
C0158,26,SHORT,13,High
C0159,32,LONG,10,Medium
C0160,22,SHORT,18,Medium
C0161,22,SHORT,1,High
C0162,41,LONG,0,High
C0163,11,LONG,14,High
C0164,28,SHORT,22,High
C0165,42,LONG,5,Medium
C0166,6,LONG,8,High
C0167,24,SHORT,1,Medium
C0168,41,LONG,23,Low
C0169,49,SHORT,13,Low
C0170,6,SHORT,0,High
C0171,31,SHORT,4,Low
C0172,15,LONG,0,High
C0173,45,LONG,3,Medium
C0174,45,SHORT,15,High
C0175,15,LONG,2,Low
C0176,7,SHORT,10,Medium
C0177,20,SHORT,12,High
C0178,42,SHORT,2,Low
C0179,37,SHORT,19,Low
C0180,11,LONG,11,Low
C0181,14,SHORT,13,Low
C0182,44,LONG,6,High
C0183,7,SHORT,3,Low
C0184,47,LONG,11,Medium
C0185,21,SHORT,7,Medium
C0186,42,SHORT,7,Low
C0187,39,LONG,22,High
C0188,43,LONG,6,Low
C0189,39,SHORT,23,Medium
C0190,19,SHORT,7,Medium
C0191,25,SHORT,7,Medium
C0192,41,SHORT,16,High
C0193,24,LONG,4,Medium
C0194,37,LONG,11,Low
C0195,44,SHORT,15,High
C0196,2,SHORT,0,Medium
C0197,14,SHORT,1,Medium
C0198,33,LONG,20,Low
C0199,33,LONG,13,Low
C0200,26,SHORT,20,Low
C0201,35,SHORT,8,High
C0202,20,SHORT,16,High
C0203,10,LONG,12,Low
C0204,41,SHORT,9,Low
C0205,28,SHORT,1,High
C0206,6,LONG,3,Medium
C0207,40,SHORT,9,Low
C0208,48,SHORT,3,High
C0209,46,SHORT,22,High
C0210,11,LONG,11,Low
C0211,34,LONG,5,Medium
C0212,9,LONG,23,High
C0213,50,SHORT,10,Medium
C0214,18,SHORT,8,Low
C0215,37,SHORT,15,Medium
C0216,33,LONG,1,Medium
C0217,37,SHORT,11,High
C0218,17,SHORT,18,Low
C0219,47,SHORT,7,Low
C0220,33,SHORT,1,High
C0221,16,SHORT,15,Medium
C0222,25,SHORT,5,High
C0223,36,LONG,7,Medium
C0224,16,LONG,23,Medium
C0225,18,SHORT,18,Medium
C0226,8,SHORT,5,High
C0227,34,SHORT,12,High
C0228,30,LONG,9,Medium
C0229,6,LONG,0,Medium
C0230,13,LONG,18,Medium
C0231,48,SHORT,14,Medium
C0232,38,LONG,6,Low
C0233,35,SHORT,4,High
C0234,27,SHORT,7,Low
C0235,23,SHORT,10,High
C0236,49,LONG,23,Low
C0237,20,SHORT,6,Low
C0238,16,LONG,15,High
C0239,10,LONG,2,High
C0240,15,LONG,22,Medium
C0241,30,SHORT,18,High
C0242,33,SHORT,20,Medium
C0243,5,SHORT,13,Low
C0244,9,SHORT,9,Medium
C0245,21,LONG,22,Low
C0246,21,LONG,14,Medium
C0247,15,SHORT,6,High
C0248,50,SHORT,4,High
C0249,11,LONG,14,Medium
C0250,27,SHORT,17,Medium
C0251,50,SHORT,14,Medium
C0252,30,LONG,3,High
C0253,11,LONG,22,Low
C0254,39,SHORT,6,Medium
C0255,10,SHORT,22,High
C0256,23,LONG,16,High
C0257,44,LONG,8,High
C0258,2,LONG,14,Low
C0259,48,SHORT,3,Medium
C0260,7,SHORT,3,High
C0261,4,SHORT,4,High
C0262,26,LONG,21,Low
C0263,42,SHORT,18,Low
C0264,17,SHORT,0,High
C0265,13,LONG,4,High
C0266,22,SHORT,1,Medium
C0267,4,SHORT,18,Medium
C0268,47,LONG,15,High
C0269,25,LONG,5,Medium
C0270,14,SHORT,8,Medium
C0271,29,SHORT,1,Low
C0272,40,SHORT,20,Medium
C0273,32,LONG,17,Medium
C0274,4,SHORT,8,Medium
C0275,9,LONG,6,Low
C0276,34,SHORT,20,Low
C0277,2,LONG,22,Medium
C0278,31,LONG,11,Low
C0279,33,LONG,12,Medium
C0280,12,SHORT,10,Low
C0281,15,SHORT,8,High
C0282,31,LONG,18,High
C0283,11,SHORT,7,Low
C0284,16,LONG,17,Low
C0285,4,SHORT,18,Medium
C0286,23,SHORT,5,High
C0287,38,LONG,23,Low
C0288,23,SHORT,22,Low
C0289,23,SHORT,18,High
C0290,32,LONG,5,Medium
C0291,3,SHORT,1,High
C0292,39,SHORT,0,Low
C0293,31,SHORT,10,Low
C0294,13,SHORT,10,Low
C0295,12,LONG,1,High
C0296,10,SHORT,3,Low
C0297,24,SHORT,11,Low
C0298,43,LONG,18,High
C0299,22,LONG,10,High
C0300,11,LONG,20,Medium
C0301,42,LONG,5,Low
C0302,36,LONG,7,Low
C0303,38,SHORT,12,Medium
C0304,47,LONG,4,High
C0305,47,SHORT,22,Low
C0306,26,SHORT,5,Low
C0307,21,SHORT,20,Low
C0308,7,LONG,4,Medium
C0309,48,SHORT,7,Medium
C0310,21,SHORT,20,High
C0311,46,LONG,14,High
C0312,17,SHORT,7,Low
C0313,5,LONG,8,High
C0314,47,SHORT,1,Medium
C0315,29,LONG,5,Medium
C0316,32,LONG,11,Low
C0317,25,SHORT,15,Low
C0318,42,SHORT,5,Medium
C0319,5,SHORT,9,High
C0320,21,LONG,3,High
C0321,22,SHORT,12,High
C0322,47,SHORT,17,High
C0323,22,LONG,22,High
C0324,28,SHORT,19,Medium
C0325,11,SHORT,3,Medium
C0326,14,SHORT,13,Low
C0327,36,LONG,21,Medium
C0328,20,SHORT,3,High
C0329,26,LONG,4,High
C0330,24,SHORT,13,High
C0331,19,LONG,6,High
C0332,2,SHORT,5,Low
C0333,19,SHORT,15,High
C0334,20,LONG,15,Medium
C0335,43,LONG,2,Low
C0336,35,LONG,5,Medium
C0337,25,LONG,5,Medium
C0338,3,LONG,14,Medium
C0339,17,SHORT,8,Low
C0340,4,SHORT,22,Low
C0341,7,SHORT,21,Medium
C0342,35,LONG,18,High
C0343,36,SHORT,12,Low
C0344,27,LONG,18,High
C0345,31,LONG,2,Medium
C0346,46,SHORT,16,Low
C0347,34,SHORT,3,Medium
C0348,12,SHORT,6,High
C0349,9,SHORT,13,High
C0350,44,LONG,6,Low
C0351,10,LONG,10,Low
C0352,5,SHORT,12,Low
C0353,26,LONG,8,Low
