creator_id,base_engagement,cooldown_hours
1,1.11,2
2,1.19,5
3,0.78,3
4,1.14,10
5,0.67,8
6,0.63,3
7,0.77,10
8,1.08,10
9,0.76,12
10,1.16,8
11,0.78,11
12,0.82,2
13,1.21,4
14,1.16,7
15,0.82,5
16,1.37,7
17,0.68,8
18,0.68,7
19,1.08,2
20,1.18,10
21,0.7,8
22,0.66,6
23,1.26,11
24,1.31,7
25,1.06,3
26,0.64,5
27,1.22,3
28,1.28,3
29,0.9,9
30,1.11,7
31,0.73,7
32,0.77,6
33,1.16,12
34,1.12,11
35,1.11,10
36,1.18,4
37,0.97,6
38,1.39,12
39,1.15,5
40,1.15,2
41,0.78,2
42,1.24,8
43,0.81,5
44,1.33,11
45,1.3,7
46,0.77,9
47,0.92,12
48,0.97,6
49,0.71,10
50,1.03,11
