creator_id,platform,content_type,time_slot,avg_engagement
1,Instagram,SHORT,7,0.98
1,Instagram,SHORT,18,1.01
1,Instagram,SHORT,2,0.93
1,Instagram,SHORT,23,0.86
1,Instagram,SHORT,15,0.95
1,Instagram,LONG,5,1.58
1,Instagram,LONG,8,1.57
1,Instagram,LONG,16,1.52
1,Instagram,LONG,19,1.5
1,Instagram,LONG,13,1.51
1,YouTube,SHORT,21,0.89
1,YouTube,SHORT,20,0.85
1,YouTube,SHORT,11,0.82
1,YouTube,SHORT,14,0.81
1,YouTube,SHORT,16,0.91
1,YouTube,LONG,0,1.29
1,YouTube,LONG,2,1.47
1,YouTube,LONG,22,1.46
1,YouTube,LONG,20,1.24
1,YouTube,LONG,1,1.29
2,Instagram,SHORT,6,1.48
2,Instagram,SHORT,17,1.39
2,Instagram,SHORT,4,1.45
2,Instagram,SHORT,23,1.43
2,Instagram,SHORT,18,1.34
2,Instagram,LONG,11,1.2
2,Instagram,LONG,13,1.27
2,Instagram,LONG,14,1.07
2,Instagram,LONG,23,1.14
2,Instagram,LONG,1,1.12
2,YouTube,SHORT,7,1.34
2,YouTube,SHORT,6,1.3
2,YouTube,SHORT,17,1.29
2,YouTube,SHORT,14,1.48
2,YouTube,SHORT,4,1.35
2,YouTube,LONG,17,1.86
2,YouTube,LONG,3,1.85
2,YouTube,LONG,1,1.82
2,YouTube,LONG,20,1.59
2,YouTube,LONG,0,1.7
3,Instagram,SHORT,12,0.97
3,Instagram,SHORT,1,0.94
3,Instagram,SHORT,5,0.85
3,Instagram,SHORT,0,0.93
3,Instagram,SHORT,8,0.93
3,Instagram,LONG,21,1.23
3,Instagram,LONG,22,1.4
3,Instagram,LONG,15,1.3
3,Instagram,LONG,4,1.29
3,Instagram,LONG,6,1.35
3,YouTube,SHORT,18,0.61
3,YouTube,SHORT,15,0.51
3,YouTube,SHORT,16,0.52
3,YouTube,SHORT,5,0.57
3,YouTube,SHORT,1,0.58
3,YouTube,LONG,3,0.94
3,YouTube,LONG,18,0.9
3,YouTube,LONG,7,0.93
3,YouTube,LONG,19,0.92
3,YouTube,LONG,1,1.0
4,Instagram,SHORT,22,0.82
4,Instagram,SHORT,10,0.91
4,Instagram,SHORT,7,0.87
4,Instagram,SHORT,8,0.96
4,Instagram,SHORT,12,0.96
4,Instagram,LONG,19,0.48
4,Instagram,LONG,18,0.49
4,Instagram,LONG,3,0.55
