content_id,creator_id,recommended_platform,best_time_slot,timing,final_score,cooldown_ok
1,24,YouTube,21,SCHEDULED,1.0084,True
2,43,YouTube,4,SCHEDULED,0.9132,True
3,44,Instagram,19,IMMEDIATE,1.03,True
4,41,Instagram,19,IMMEDIATE,1.132,True
5,47,Instagram,0,IMMEDIATE,0.9846,True
6,30,YouTube,21,IMMEDIATE,1.0588,True
7,41,Instagram,19,SCHEDULED,1.132,True
8,21,Instagram,18,SCHEDULED,0.9994,True
9,3,YouTube,18,SCHEDULED,0.9816,True
10,18,Instagram,22,SCHEDULED,1.0534,True
11,37,YouTube,18,IMMEDIATE,0.987,True
12,42,YouTube,20,SCHEDULED,0.9928,True
13,42,YouTube,20,SCHEDULED,0.9928,True
14,17,Instagram,18,SCHEDULED,1.1488,True
15,48,YouTube,8,SCHEDULED,0.9876,True
16,38,YouTube,14,SCHEDULED,0.9798,True
17,26,YouTube,20,SCHEDULED,1.1086,True
18,9,YouTube,6,SCHEDULED,0.9768,True
19,49,Instagram,19,IMMEDIATE,1.1014,True
20,10,Instagram,19,IMMEDIATE,1.0216,True
21,28,Instagram,22,SCHEDULED,1.15,True
22,25,YouTube,20,IMMEDIATE,1.0144,True
23,17,Instagram,18,SCHEDULED,1.1488,True
24,47,Instagram,0,SCHEDULED,0.9846,True
25,35,YouTube,21,IMMEDIATE,1.0654,True
26,22,Instagram,19,SCHEDULED,1.108,True
27,28,Instagram,22,IMMEDIATE,1.15,True
28,1,YouTube,22,SCHEDULED,1.111,True
29,49,Instagram,19,SCHEDULED,1.1014,True
30,7,YouTube,23,SCHEDULED,1.1308,True
31,33,Instagram,19,SCHEDULED,1.0852,True
32,24,Instagram,10,SCHEDULED,0.9858,True
33,50,Instagram,19,IMMEDIATE,1.1476,True
34,21,YouTube,23,SCHEDULED,1.1254,True
35,8,YouTube,23,SCHEDULED,1.0162,True
36,16,Instagram,21,SCHEDULED,1.123,True
37,37,Instagram,20,SCHEDULED,1.1182,True
38,47,YouTube,18,SCHEDULED,0.9744,True
39,49,Instagram,19,SCHEDULED,1.1014,True
40,43,YouTube,4,SCHEDULED,0.9132,True
41,11,YouTube,21,SCHEDULED,1.0612,True
42,39,YouTube,23,SCHEDULED,1.0246,True
43,35,Instagram,20,IMMEDIATE,1.1116,True
44,20,YouTube,21,SCHEDULED,1.1368,True
45,42,YouTube,20,SCHEDULED,0.9928,True
46,34,YouTube,21,SCHEDULED,1.0234,True
47,16,Instagram,21,IMMEDIATE,1.123,True
48,22,Instagram,19,IMMEDIATE,1.108,True
49,36,Instagram,17,IMMEDIATE,0.9774,True
50,15,Instagram,15,SCHEDULED,0.9768,True
51,46,Instagram,20,SCHEDULED,1.051,True
52,5,Instagram,18,SCHEDULED,1.1224,True
53,5,Instagram,18,IMMEDIATE,1.1224,True
54,43,YouTube,4,IMMEDIATE,0.9132,True
55,35,Instagram,20,SCHEDULED,1.1116,True
56,37,YouTube,18,SCHEDULED,0.987,True
57,31,YouTube,23,SCHEDULED,1.0036,True
58,7,Instagram,20,SCHEDULED,1.0408,True
59,28,YouTube,23,IMMEDIATE,1.123,True
60,27,YouTube,13,IMMEDIATE,0.9288,True
61,4,Instagram,21,SCHEDULED,1.0876,True
62,26,YouTube,20,IMMEDIATE,1.1086,True
63,16,Instagram,21,SCHEDULED,1.123,True
64,35,YouTube,21,SCHEDULED,1.0654,True
65,28,Instagram,22,IMMEDIATE,1.15,True
66,30,Instagram,21,SCHEDULED,1.099,True
67,29,Instagram,20,SCHEDULED,1.0906,True
68,42,Instagram,12,IMMEDIATE,0.9138,True
69,49,Instagram,19,IMMEDIATE,1.1014,True
70,27,YouTube,13,IMMEDIATE,0.9288,True
71,14,YouTube,20,IMMEDIATE,0.9604,True
72,11,YouTube,21,IMMEDIATE,1.0612,True
73,25,YouTube,20,SCHEDULED,1.0144,True
74,19,YouTube,20,IMMEDIATE,1.0426,True
75,47,YouTube,18,SCHEDULED,0.9744,True
76,13,YouTube,23,SCHEDULED,1.0114,True
77,4,Instagram,21,SCHEDULED,1.0876,True
78,21,Instagram,18,SCHEDULED,0.9994,True
79,38,YouTube,14,IMMEDIATE,0.9798,True
80,34,Instagram,21,SCHEDULED,1.1362,True
81,33,Instagram,19,SCHEDULED,1.0852,True
82,5,Instagram,18,SCHEDULED,1.1224,True
83,16,YouTube,22,IMMEDIATE,1.1128,True
84,37,Instagram,20,IMMEDIATE,1.1182,True
85,39,Instagram,20,SCHEDULED,1.0018,True
86,6,YouTube,23,IMMEDIATE,1.0828,True
87,38,YouTube,14,SCHEDULED,0.9798,True
88,14,YouTube,20,IMMEDIATE,0.9604,True
89,17,YouTube,22,IMMEDIATE,0.9946,True
90,43,YouTube,4,SCHEDULED,0.9132,True
91,21,Instagram,18,SCHEDULED,0.9994,True
92,30,Instagram,21,SCHEDULED,1.099,True
93,35,Instagram,20,SCHEDULED,1.1116,True
94,17,Instagram,18,SCHEDULED,1.1488,True
95,5,Instagram,18,SCHEDULED,1.1224,True
96,19,Instagram,22,IMMEDIATE,1.105,True
97,35,YouTube,21,SCHEDULED,1.0654,True
98,42,Instagram,12,SCHEDULED,0.9138,True
99,36,YouTube,20,IMMEDIATE,1.0564,True
100,7,Instagram,20,IMMEDIATE,1.0408,True
