platform,time_slot,activity_score
Instagram,0,0.47
Instagram,1,0.53
Instagram,2,0.44
Instagram,3,0.7
Instagram,4,0.36
Instagram,5,0.5
Instagram,6,0.6
Instagram,7,0.64
Instagram,8,0.36
Instagram,9,0.36
Instagram,10,0.57
Instagram,11,0.54
Instagram,12,0.45
Instagram,13,0.54
Instagram,14,0.49
Instagram,15,0.4
Instagram,16,0.52
Instagram,17,0.68
Instagram,18,0.94
Instagram,19,0.82
Instagram,20,0.98
Instagram,21,0.95
Instagram,22,0.95
Instagram,23,0.44
YouTube,0,0.42
YouTube,1,0.36
YouTube,2,0.3
YouTube,3,0.59
YouTube,4,0.59
YouTube,5,0.69
YouTube,6,0.6
YouTube,7,0.5
YouTube,8,0.34
YouTube,9,0.55
YouTube,10,0.64
YouTube,11,0.5
YouTube,12,0.38
YouTube,13,0.45
YouTube,14,0.36
YouTube,15,0.68
YouTube,16,0.67
YouTube,17,0.67
YouTube,18,0.54
YouTube,19,0.5
YouTube,20,0.82
YouTube,21,0.87
YouTube,22,1.0
YouTube,23,0.96
